# gates.tsv — B9 P1 gates registry (m-vscode). One row per gate this repo owns.
# columns: gate<TAB>invocation<TAB>tier<TAB>expected_red<TAB>redproof<TAB>oracle_independence<TAB>positive_control
#   tier: check | nightly | sync-time; wiring gated by .github gates-wiring-check
#         (meta-gate §27). nightly = the org vsix-smoke cadence (xvfb, installed .vsix).
#   expected_red: SCRIPT-level rc + signature (make collapses recipe rc to 2).
#   redproof: commit sha with real evidence, or `unproven` — never invented.
gate	invocation	tier	expected_red	redproof	oracle_independence	positive_control
check-wasm	make check-wasm	check	rc=1 "check-wasm: FAIL —" (hand-edit sha mismatch / STALE vs upstream / UNVERIFIED refuse when the checkout is absent); ALLOW_MISSING_UPSTREAM=1 skips the staleness leg with a loud *** SKIPPED *** (per-invocation, never ambient — P5c)	68ce63f (H10 flip to refuse-by-default)	INDEPENDENT — vendored bytes vs tree-sitter-m COMMITTED HEAD (never its worktree; WASM_UPSTREAM_WORKTREE=1 is the one in-tree-validation exception)	n/a — byte-equality gate, reds on any drift
lint	make lint	check	rc=1 Biome findings	unproven	n/a	none
typecheck	make typecheck	check	rc!=0 tsc errors (strict, noUncheckedIndexedAccess)	unproven	n/a	none
test-cov	make test-cov	check	rc=1 node:test failures; the LSP equivalence e2e HARD-FAILS if `m` is missing — never skips ("a skipped equivalence proof is not a passed one")	19bfdb1 (made the equivalence gate able to fail — closed the shared-byte-column blindness)	equivalence gate PARTIAL: both sides drive `m` via the hand-rolled LspSession, never vscode-languageclient — client-integration defects (the --stdio argv crash class) are INVISIBLE here; smoke-installed covers that boundary. The old byte-column blindness (both sides derived the col from the same byte offset) is closed via document-text conversion	the deliberately non-ASCII utf16 fixture carries a guard asserting it STAYS non-ASCII — the gate can fail on the thing it exists to catch
vuln	make vuln	check	rc=1 FINDINGS / rc=2 env FATAL	unproven	n/a — external OSV DBs, freshness graded by meta-gate §22	none — zero-findings scan, no planted-vuln fixture (P5b gap, accepted org-wide)
bundle	make bundle	check	rc!=0 esbuild failure (must go through scripts/bundle.mjs — the import.meta shim)	unproven	n/a	none
verify-bundle	make verify-bundle	check	rc=1 "verify-bundle: FAILED" + problem list (LanguageClient not bundled / import.meta stub / unbundled require / missing asset)	154660f (the offline half of the dead-highlighting fix; the behavioral half is the smoke)	reads the ACTUAL bundle bytes, independent of the source tree	n/a — structural gate
docs-gate	make docs-gate	check	rc=1 broken link/layout / rc=2 bad invocation	unproven	n/a	none
smoke-installed	make smoke-installed	nightly	rc=1 any in-host assertion (SMOKE FAIL + captured output); rc=2 REFUSE when the persistent-dir env is missing (never a silent dev-mode fallback)	red-proofed live 2026-07-21: empty extensions-dir => rc 1 "vista-forge.m-vscode present in the host" fails; missing env => rc 2 REFUSE; stale 0.2.0 artifact => rc 1 (caught a REAL stale committed .vsix); fresh 0.3.0 => rc 0 SMOKE PASS	the extension under test is the INSTALLED .vsix — the packaged boundary the dev-mode suite and every unit test cannot see (the month-dead-highlighting class); assertions read the STATE-only MVscodeApi because each extension has its own vscode API instance (output-channel/showErrorMessage monkeypatches only see dev mode)	the §7 failure-visibility check PLANTS a bogus serverPath and asserts the visible error fires (unplanted in a finally; run.ts sanitizes the persistent profile against a crashed prior plant)
accept-installed	make accept-installed	nightly	rc=1 "ACCEPTANCE FAIL: N of M criteria failed" + full per-criterion evidence table (a crashed scenario host surfaces as a FAIL row "scenario completed and recorded evidence", never a silent skip); rc=2 REFUSE (missing persistent-dir env / corpus dir / non-installed mode / prep failure — no dev-mode fallback exists at all). M_ACCEPT_ONLY=<id> is a labeled PARTIAL debug run, never the matrix verdict	red-proofed live 2026-07-21 (E3 first run): A2 red fired for real (over-strict loudness criterion vs the 3 legitimate XINDX findings — fixed to CLI-parity + M-INTERNAL-PARSE-present) and A3 red fired for real (p95 670 ms end-to-end on a density-outlier instrument — gate re-anchored to the ratified W0-c LSP-layer didChange→publish instrument, end-to-end kept as telemetry); rc=2 refuse verified with the persistent-dir env absent	INDEPENDENT oracles per row: A1 highlight vs a SOURCE-tree ESM token capture (installed CJS bundle vs source — the two-programs seam); lint/diagnostics vs the real `m lint --output json`; fmt vs on-disk bytes; A2 corpus baseline + A3 live-lint measured OUTSIDE the host (CLI / headless LspSession on the same `m` binary)	the matrix carries live red generators: A4's garbage file must produce M-INTERNAL-PARSE (silent green fails the row) and A5's remedy must CHANGE real diagnostics — plus both first-run reds above prove the verdict can fail
